slug,field,homepage_value,csv_value,review_page_value,operator_tandcs_url,confirmed_value,confirmed_by,confirmed_date
betshezi,welcome_bonus.promo_code,,,,,,,
betshezi,payments.deposit_methods,,,,,,,
betshezi,payout.typical_hours,,,,,,,
betshezi,welcome_bonus.type,,,,,,,
betshezi,welcome_bonus.match_rate,,,,,,,
betshezi,welcome_bonus.max_bonus_zar,,,,,,,
betshezi,welcome_bonus.fixed_bonus_zar,,,,,,,
betshezi,welcome_bonus.wagering_multiple,,,,,,,
betshezi,welcome_bonus.wagering_applies_to,,,,,,,
betshezi,welcome_bonus.expiry_days,,,,,,,
betway,rating.value,4.5,4.1,4.6,,,,
betway,welcome_bonus.headline,"Up to R1,000 Welcome Bonus","R1,000 matched deposit","Up to R1,000 matched",,,,
betway,welcome_bonus.min_deposit_zar,10,5,5,,,,
betway,welcome_bonus.wagering,,,,,,,
betway,welcome_bonus.min_odds,,,,,,,
betway,welcome_bonus.promo_code,,,,,,,
betway,payments.deposit_methods,,,,,,,
betway,payout.typical_hours,,Instant to 24 hours,Minutes–24h (Instant EFT),,,,
betway,welcome_bonus.type,,,,,,,
betway,welcome_bonus.match_rate,,,,,,,
betway,welcome_bonus.max_bonus_zar,,,,,,,
betway,welcome_bonus.fixed_bonus_zar,,,,,,,
betway,welcome_bonus.wagering_multiple,,,,,,,
betway,welcome_bonus.wagering_applies_to,,,,,,,
betway,welcome_bonus.expiry_days,,,,,,,
easybet,rating.value,,4,4,,,,
easybet,welcome_bonus.headline,,"100% match up to R1,000","100% match up to R1,000",,,,
easybet,welcome_bonus.min_deposit_zar,,20,20,,,,
easybet,welcome_bonus.wagering,,,,,,,
easybet,welcome_bonus.min_odds,,,,,,,
easybet,welcome_bonus.promo_code,,,,,,,
easybet,payments.deposit_methods,,,,,,,
easybet,payout.typical_hours,,24 to 72 hours,24 to 72 hours,,,,
easybet,welcome_bonus.type,,,,,,,
easybet,welcome_bonus.match_rate,,,,,,,
easybet,welcome_bonus.max_bonus_zar,,,,,,,
easybet,welcome_bonus.fixed_bonus_zar,,,,,,,
easybet,welcome_bonus.wagering_multiple,,,,,,,
easybet,welcome_bonus.wagering_applies_to,,,,,,,
easybet,welcome_bonus.expiry_days,,,,,,,
gbets,rating.value,3.9,,,,,,
gbets,welcome_bonus.headline,R25 Free Bet on Registration,,,,,,
gbets,welcome_bonus.min_deposit_zar,5,,,,,,
gbets,welcome_bonus.wagering,,,,,,,
gbets,welcome_bonus.min_odds,,,,,,,
gbets,welcome_bonus.promo_code,,,,,,,
gbets,payments.deposit_methods,,,,,,,
gbets,payout.typical_hours,,,,,,,
gbets,welcome_bonus.type,,,,,,,
gbets,welcome_bonus.match_rate,,,,,,,
gbets,welcome_bonus.max_bonus_zar,,,,,,,
gbets,welcome_bonus.fixed_bonus_zar,,,,,,,
gbets,welcome_bonus.wagering_multiple,,,,,,,
gbets,welcome_bonus.wagering_applies_to,,,,,,,
gbets,welcome_bonus.expiry_days,,,,,,,
hollywoodbets,rating.value,4.3,4.7,4.5,,,,
hollywoodbets,welcome_bonus.headline,R25 Sign-Up Bonus,R25 sign-up bonus + promos,R25 sign-up bonus + promos,,,,
hollywoodbets,welcome_bonus.min_deposit_zar,5,10,10,,,,
hollywoodbets,welcome_bonus.wagering,,,,,,,
hollywoodbets,welcome_bonus.min_odds,,,,,,,
hollywoodbets,welcome_bonus.promo_code,,,,,,,
hollywoodbets,payments.deposit_methods,,,,,,,
hollywoodbets,payout.typical_hours,,24 to 72 hours,24 to 72 hours,,,,
hollywoodbets,welcome_bonus.type,,,,,,,
hollywoodbets,welcome_bonus.match_rate,,,,,,,
hollywoodbets,welcome_bonus.max_bonus_zar,,,,,,,
hollywoodbets,welcome_bonus.fixed_bonus_zar,,,,,,,
hollywoodbets,welcome_bonus.wagering_multiple,,,,,,,
hollywoodbets,welcome_bonus.wagering_applies_to,,,,,,,
hollywoodbets,welcome_bonus.expiry_days,,,,,,,
lottostar,rating.value,,,,https://lottostar.co.za/terms-and-conditions,,,
lottostar,welcome_bonus.headline,,,,https://lottostar.co.za/terms-and-conditions,,,
lottostar,welcome_bonus.min_deposit_zar,,,,https://lottostar.co.za/terms-and-conditions,,,
lottostar,welcome_bonus.wagering,,,,https://lottostar.co.za/terms-and-conditions,,,
lottostar,welcome_bonus.min_odds,,,,https://lottostar.co.za/terms-and-conditions,,,
lottostar,welcome_bonus.promo_code,,,,https://lottostar.co.za/terms-and-conditions,,,
lottostar,payments.deposit_methods,,,,https://lottostar.co.za/terms-and-conditions,,,
lottostar,payout.typical_hours,,,,https://lottostar.co.za/terms-and-conditions,,,
lottostar,welcome_bonus.type,,,,,,,
lottostar,welcome_bonus.match_rate,,,,,,,
lottostar,welcome_bonus.max_bonus_zar,,,,,,,
lottostar,welcome_bonus.fixed_bonus_zar,,,,,,,
lottostar,welcome_bonus.wagering_multiple,,,,,,,
lottostar,welcome_bonus.wagering_applies_to,,,,,,,
lottostar,welcome_bonus.expiry_days,,,,,,,
play-co-za,rating.value,4.2,4.2,4.2,,,,
play-co-za,welcome_bonus.headline,"100% Match up to R3,000 (300% up to R9,000 across 3 deposits)","300% match up to R9,000 (across 3 deposits)",,,,,
play-co-za,welcome_bonus.min_deposit_zar,5,5,5,,,,
play-co-za,welcome_bonus.wagering,,,,,,,
play-co-za,welcome_bonus.min_odds,,,,,,,
play-co-za,welcome_bonus.promo_code,,,,,,,
play-co-za,payments.deposit_methods,,,,,,,
play-co-za,payout.typical_hours,,12 to 24 hours,"12-24 hours, it's an accessible option for both casual and serious punters",,,,
play-co-za,welcome_bonus.type,,,,,,,
play-co-za,welcome_bonus.match_rate,,,,,,,
play-co-za,welcome_bonus.max_bonus_zar,,,,,,,
play-co-za,welcome_bonus.fixed_bonus_zar,,,,,,,
play-co-za,welcome_bonus.wagering_multiple,,,,,,,
play-co-za,welcome_bonus.wagering_applies_to,,,,,,,
play-co-za,welcome_bonus.expiry_days,,,,,,,
playabets,rating.value,,,,,,,
playabets,welcome_bonus.headline,,,,,,,
playabets,welcome_bonus.min_deposit_zar,,,,,,,
playabets,welcome_bonus.wagering,,,,,,,
playabets,welcome_bonus.min_odds,,,,,,,
playabets,welcome_bonus.promo_code,,,,,,,
playabets,payments.deposit_methods,,,,,,,
playabets,payout.typical_hours,,,,,,,
playabets,welcome_bonus.type,,,,,,,
playabets,welcome_bonus.match_rate,,,,,,,
playabets,welcome_bonus.max_bonus_zar,,,,,,,
playabets,welcome_bonus.fixed_bonus_zar,,,,,,,
playabets,welcome_bonus.wagering_multiple,,,,,,,
playabets,welcome_bonus.wagering_applies_to,,,,,,,
playabets,welcome_bonus.expiry_days,,,,,,,
sportingbet,rating.value,4.2,4.7,4.7,,,,
sportingbet,welcome_bonus.headline,R50 Free Bet on Sign-Up,"R50 free bet + 100% match up to R2,000","R50 free bet + 100% match up to R2,000",,,,
sportingbet,welcome_bonus.min_deposit_zar,20,10,10,,,,
sportingbet,welcome_bonus.wagering,,,,,,,
sportingbet,welcome_bonus.min_odds,,,,,,,
sportingbet,welcome_bonus.promo_code,,,,,,,
sportingbet,payments.deposit_methods,,,,,,,
sportingbet,payout.typical_hours,,24 to 48 hours,24 to 48 hours,,,,
sportingbet,welcome_bonus.type,,,,,,,
sportingbet,welcome_bonus.match_rate,,,,,,,
sportingbet,welcome_bonus.max_bonus_zar,,,,,,,
sportingbet,welcome_bonus.fixed_bonus_zar,,,,,,,
sportingbet,welcome_bonus.wagering_multiple,,,,,,,
sportingbet,welcome_bonus.wagering_applies_to,,,,,,,
sportingbet,welcome_bonus.expiry_days,,,,,,,
sunbet,rating.value,3.8,,,,,,
sunbet,welcome_bonus.headline,R50 Sign-Up Bonus,,,,,,
sunbet,welcome_bonus.min_deposit_zar,20,,,,,,
sunbet,welcome_bonus.wagering,,,,,,,
sunbet,welcome_bonus.min_odds,,,,,,,
sunbet,welcome_bonus.promo_code,,,,,,,
sunbet,payments.deposit_methods,,,,,,,
sunbet,payout.typical_hours,,,,,,,
sunbet,welcome_bonus.type,,,,,,,
sunbet,welcome_bonus.match_rate,,,,,,,
sunbet,welcome_bonus.max_bonus_zar,,,,,,,
sunbet,welcome_bonus.fixed_bonus_zar,,,,,,,
sunbet,welcome_bonus.wagering_multiple,,,,,,,
sunbet,welcome_bonus.wagering_applies_to,,,,,,,
sunbet,welcome_bonus.expiry_days,,,,,,,
supabets,rating.value,,4.3,4.3,,,,
supabets,welcome_bonus.headline,,R20 sign-up bonus + rewards,R20 sign-up bonus + rewards,,,,
supabets,welcome_bonus.min_deposit_zar,,10,10,,,,
supabets,welcome_bonus.wagering,,,,,,,
supabets,welcome_bonus.min_odds,,,,,,,
supabets,welcome_bonus.promo_code,,,,,,,
supabets,payments.deposit_methods,,,,,,,
supabets,payout.typical_hours,,24 to 48 hours,24 to 48 hours,,,,
supabets,welcome_bonus.type,,,,,,,
supabets,welcome_bonus.match_rate,,,,,,,
supabets,welcome_bonus.max_bonus_zar,,,,,,,
supabets,welcome_bonus.fixed_bonus_zar,,,,,,,
supabets,welcome_bonus.wagering_multiple,,,,,,,
supabets,welcome_bonus.wagering_applies_to,,,,,,,
supabets,welcome_bonus.expiry_days,,,,,,,
world-sports-betting,rating.value,4,4.1,4.1,https://www.worldsportsbetting.co.za/terms-and-conditions,,,
world-sports-betting,welcome_bonus.headline,R50 Sign-Up Bonus,"Up to R1,000 welcome bonus","Up to R1,000 welcome bonus",https://www.worldsportsbetting.co.za/terms-and-conditions,,,
world-sports-betting,welcome_bonus.min_deposit_zar,10,20,20,https://www.worldsportsbetting.co.za/terms-and-conditions,,,
world-sports-betting,welcome_bonus.wagering,,,,https://www.worldsportsbetting.co.za/terms-and-conditions,,,
world-sports-betting,welcome_bonus.min_odds,,,,https://www.worldsportsbetting.co.za/terms-and-conditions,,,
world-sports-betting,welcome_bonus.promo_code,,,,https://www.worldsportsbetting.co.za/terms-and-conditions,,,
world-sports-betting,payments.deposit_methods,,,,https://www.worldsportsbetting.co.za/terms-and-conditions,,,
world-sports-betting,payout.typical_hours,,24 to 72 hours,24 to 72 hours,https://www.worldsportsbetting.co.za/terms-and-conditions,,,
world-sports-betting,welcome_bonus.type,,,,,,,
world-sports-betting,welcome_bonus.match_rate,,,,,,,
world-sports-betting,welcome_bonus.max_bonus_zar,,,,,,,
world-sports-betting,welcome_bonus.fixed_bonus_zar,,,,,,,
world-sports-betting,welcome_bonus.wagering_multiple,,,,,,,
world-sports-betting,welcome_bonus.wagering_applies_to,,,,,,,
world-sports-betting,welcome_bonus.expiry_days,,,,,,,
yesplay,rating.value,,,,,,,
yesplay,welcome_bonus.headline,,,,,,,
yesplay,welcome_bonus.min_deposit_zar,,,,,,,
yesplay,welcome_bonus.wagering,,,,,,,
yesplay,welcome_bonus.min_odds,,,,,,,
yesplay,welcome_bonus.promo_code,,,,,,,
yesplay,payments.deposit_methods,,,,,,,
yesplay,payout.typical_hours,,,,,,,
yesplay,welcome_bonus.type,,,,,,,
yesplay,welcome_bonus.match_rate,,,,,,,
yesplay,welcome_bonus.max_bonus_zar,,,,,,,
yesplay,welcome_bonus.fixed_bonus_zar,,,,,,,
yesplay,welcome_bonus.wagering_multiple,,,,,,,
yesplay,welcome_bonus.wagering_applies_to,,,,,,,
yesplay,welcome_bonus.expiry_days,,,,,,,
